"sd_het","rho_m","boot","sign","or_","cift_sign","cift_or","p_poz","med_dl","cv0","DI","dk"
0.18,0,0.091,0.023,0.029,0.021,0.026,0.478,-0.001,14.8,1.14,0.77
0.18,0.15,0.081,0.012,0.025,0.009,0.018,0.478,-0.001,12.9,1.12,0.79
0.18,0.3,0.078,0.026,0.032,0.022,0.024,0.482,-0.001,11.3,1.13,0.86
0.18,0.45,0.069,0.008,0.022,0.008,0.014,0.481,-0.002,9.6,1.04,0.8
0.18,0.6,0.075,0.016,0.02,0.014,0.017,0.498,0,8.4,1.02,0.78
0.18,0.75,0.079,0.008,0.015,0.007,0.011,0.479,-0.003,7.2,1.06,0.71
0.18,0.85,0.071,0.019,0.026,0.012,0.015,0.491,0,6.9,1.13,0.73
0.18,0.95,0.068,0.014,0.02,0.01,0.011,0.481,-0.004,6.4,1.02,0.7
0,0,0.07,0.019,0.024,0.015,0.017,0.477,-0.004,5.4,1.08,0.69
0,0.15,0.064,0.01,0.015,0.008,0.01,0.469,-0.007,5.6,1.04,0.7
0,0.3,0.053,0.01,0.019,0.009,0.015,0.474,-0.005,5.6,0.99,0.7
0,0.45,0.067,0.01,0.021,0.008,0.016,0.478,-0.004,5.8,1.03,0.78
0,0.6,0.062,0.015,0.026,0.012,0.017,0.483,-0.003,5.9,0.97,0.75
0,0.75,0.072,0.017,0.021,0.016,0.019,0.473,-0.005,6.2,1.12,0.72
0,0.85,0.057,0.014,0.018,0.013,0.015,0.472,-0.003,6.3,1.04,0.86
0,0.95,0.072,0.013,0.022,0.009,0.015,0.487,-0.003,6.3,1.05,0.88
