"rho_m","lam_zx","boot","sign","or_","cift_or","p_poz","med_dl","q25_dl","dk"
0.3,0,0.081,0.018,0.029,0.021,0.492,-0.001,-0.013,0.71
0.3,0.15,0.101,0.034,0.04,0.035,0.506,0,-0.027,0.68
0.3,0.3,0.134,0.035,0.045,0.036,0.534,0.016,-0.051,0.67
0.3,0.45,0.17,0.057,0.073,0.066,0.567,0.043,-0.067,0.66
0.3,0.6,0.199,0.069,0.086,0.08,0.579,0.077,-0.089,1.75
0.8,0,0.054,0.007,0.013,0.009,0.472,-0.004,-0.024,0.71
0.8,0.15,0.071,0.012,0.022,0.015,0.495,0,-0.03,0.67
0.8,0.3,0.105,0.024,0.03,0.026,0.515,0.005,-0.048,0.69
0.8,0.45,0.122,0.027,0.04,0.035,0.514,0.008,-0.062,0.67
0.8,0.6,0.121,0.04,0.047,0.04,0.513,0.004,-0.108,0.67
