"orneklem","olcek","moderator","metric_cfi","scalar_cfi","strict_cfi","metric_rmsea","scalar_rmsea","strict_rmsea","ihlal_asamalari","invaryant"
"tam","ERISIM","Cinsiyet",0,0,0,0,0,0,"yok",TRUE
"tam","ERISIM","YasGrup",0.0045,0.0122,0.0619,0.0043,0.0173,0.0523,"scalar+strict",FALSE
"tam","ERISIM","EgitimGrup",0,0.0123,0.0273,0,0.0513,0.0252,"scalar+strict",FALSE
"tam","ERISIM","MedeniDurum",0,0,0.0454,0,0,0.0946,"strict",FALSE
"tam","ERISIM","Gelir",0.0006,-0.0012,0,0.0009,-0.02,0,"yok",TRUE
"tam","ERISIM","MeslekGrup",0.0061,0.0102,0.0306,-0.0027,0.006,0.019,"metric+scalar+strict",FALSE
"tam","MEMNUNIYET","Cinsiyet",0.0279,0.0275,-0.0015,-0.0109,-0.0048,-0.0262,"metric+scalar",FALSE
"tam","MEMNUNIYET","YasGrup",0.0274,0.0284,0.0017,-0.0223,-0.009,-0.0269,"metric+scalar",FALSE
"tam","MEMNUNIYET","EgitimGrup",0.024,0.0308,-0.0456,-0.0509,-0.0165,-0.0521,"metric+scalar",FALSE
"tam","MEMNUNIYET","MedeniDurum",0.0296,0.0234,-0.0079,-0.025,-0.0154,-0.034,"metric+scalar",FALSE
"tam","MEMNUNIYET","Gelir",0.0324,0.0217,0.0138,-0.0151,-0.0124,-0.0159,"metric+scalar+strict",FALSE
"tam","MEMNUNIYET","MeslekGrup",0.0503,0.0145,0.0142,-0.0313,-0.0326,-0.0248,"metric+scalar+strict",FALSE
"dikkatli","ERISIM","Cinsiyet",0,0,0,0,0,0,"yok",TRUE
"dikkatli","ERISIM","YasGrup",0.0149,0.0273,0.0315,0.0381,0.0264,0.0107,"metric+scalar+strict",FALSE
"dikkatli","ERISIM","EgitimGrup",0.0064,0.0132,-0.0065,0.0429,0.0182,-0.0195,"metric+scalar",FALSE
"dikkatli","ERISIM","MedeniDurum",-0.0044,-0.0029,0.0405,-0.0354,-0.032,0.0847,"strict",FALSE
"dikkatli","ERISIM","Gelir",0.002,0.0006,-0.0132,-0.0317,-0.0154,-0.0305,"yok",TRUE
"dikkatli","ERISIM","MeslekGrup",-0.0152,0.0262,-0.0065,-0.0747,0.0255,-0.0217,"scalar",FALSE
"dikkatli","MEMNUNIYET","Cinsiyet",0.0434,0.0128,0.0028,-0.0073,-0.0251,-0.0277,"metric+scalar",FALSE
"dikkatli","MEMNUNIYET","YasGrup",0.03,0.017,0.0181,-0.036,-0.0251,-0.0212,"metric+scalar+strict",FALSE
"dikkatli","MEMNUNIYET","EgitimGrup",0.0387,-0.0047,-0.0273,-0.0448,-0.0427,-0.0444,"metric",FALSE
"dikkatli","MEMNUNIYET","MedeniDurum",0.0255,0.0068,-0.0151,-0.0576,-0.0385,-0.0429,"metric",FALSE
"dikkatli","MEMNUNIYET","Gelir",0.0239,0.0137,0.027,-0.0374,-0.0218,-0.0102,"metric+scalar+strict",FALSE
"dikkatli","MEMNUNIYET","MeslekGrup",0.0458,-0.0086,0.0172,-0.0579,-0.0539,-0.0243,"metric+strict",FALSE
