"etiket","X","Y","Z","moderator","dl","ocr","cv0","cv1"
"olcek_Z","MEMNUNIYET","GUV_Saglayici","ERS","Cinsiyet",0.94062456010815,1,4.74879106842945,1.85385176602482
"olcek_Z","MEMNUNIYET","GUV_Saglayici","ERS","YasGrup",0.497346225090997,1,2.57132332112818,1.56373071428837
"olcek_Z","MEMNUNIYET","GUV_Saglayici","ERS","EgitimGrup",-0.341021410086105,0.333333333333333,4.60696129767253,6.47915367332515
"olcek_Z","MEMNUNIYET","GUV_Saglayici","ERS","MedeniDurum",-0.394283298782514,0,1.37433894602787,2.03858542893284
"olcek_Z","MEMNUNIYET","GUV_Saglayici","ERS","Gelir",-1.47500410255192,0.333333333333333,2.2322398482862,9.75724029383152
"olcek_Z","MEMNUNIYET","GUV_Saglayici","ERS","MeslekGrup",-0.883879169109043,0,7.55496505253309,18.2850564688898
"olcek_Z","MEMNUNIYET","GUV_Odeyici","ERS","Cinsiyet",-0.985147928197762,0,1.53141877379664,4.10145808570719
"olcek_Z","MEMNUNIYET","GUV_Odeyici","ERS","YasGrup",3.93226433864515,1,4.0371823600728,0.079125708092366
"olcek_Z","MEMNUNIYET","GUV_Odeyici","ERS","EgitimGrup",0.240823837949287,1,7.08210244384114,5.56639140113544
"olcek_Z","MEMNUNIYET","GUV_Odeyici","ERS","MedeniDurum",2.90238792210052,1,2.07695409118132,0.114008124705976
"olcek_Z","MEMNUNIYET","GUV_Odeyici","ERS","Gelir",-1.27980783874848,0,1.77106463100337,6.36865750759287
"olcek_Z","MEMNUNIYET","GUV_Odeyici","ERS","MeslekGrup",-0.819196390425936,0.2,6.15997329046088,13.9749834237659
"olcek_Z","MEMNUNIYET","GUVEN","ERS","Cinsiyet",2.56858725288473,1,3.59608759332766,0.275617619206575
"olcek_Z","MEMNUNIYET","GUVEN","ERS","YasGrup",2.72547697953566,1,2.8722588113192,0.188175871506936
"olcek_Z","MEMNUNIYET","GUVEN","ERS","EgitimGrup",0.159459724397453,0.666666666666667,4.42255033744007,3.77068545909709
"olcek_Z","MEMNUNIYET","GUVEN","ERS","MedeniDurum",0.640718393795932,1,1.53294579391442,0.807730222004672
"olcek_Z","MEMNUNIYET","GUVEN","ERS","Gelir",-1.26970153228169,0.333333333333333,2.17606077648598,7.74631924609938
"olcek_Z","MEMNUNIYET","GUVEN","ERS","MeslekGrup",-0.889431411759243,0,6.43730336632315,15.6667578487902
"olcek_Z","MEMNUNIYET","SOY_index","ERS","Cinsiyet",-0.388324032940514,0,10.927239124408,16.1122960030292
"olcek_Z","MEMNUNIYET","SOY_index","ERS","YasGrup",-1.72304547181771,0,0.661868509580245,3.70749748043452
"olcek_Z","MEMNUNIYET","SOY_index","ERS","EgitimGrup",-0.6379826128081,0,11.8297476155964,22.3896759314944
"olcek_Z","MEMNUNIYET","SOY_index","ERS","MedeniDurum",0.287167940868838,1,0.26006174420681,0.195146610908963
"olcek_Z","MEMNUNIYET","SOY_index","ERS","Gelir",0.392643473926312,0.666666666666667,7.92401594417289,5.35084593145743
"olcek_Z","MEMNUNIYET","SOY_index","ERS","MeslekGrup",-0.59279192928636,0.2,10.4075801158897,18.8276461147625
"olcek_Z","MEMNUNIYET","GUV_Saglayici","KAB","Cinsiyet",0.671240223126861,1,4.74879106842945,2.42698524839285
"olcek_Z","MEMNUNIYET","GUV_Saglayici","KAB","YasGrup",-1.39728371363965,0,2.57132332112818,10.3989453660828
"olcek_Z","MEMNUNIYET","GUV_Saglayici","KAB","EgitimGrup",-1.51200559792981,0,4.60696129767253,20.8963412695862
"olcek_Z","MEMNUNIYET","GUV_Saglayici","KAB","MedeniDurum",-1.40112460997941,0,1.37433894602787,5.57949050262674
