"X","Y","Z","K","delta_l","se","d","CI_alt","CI_ust","p_boot","p_binom","poz_dl","ocr50","kriter2","CV0","CV1","OS","OCR","mi_ihlal","r_MI_dl","boot_gecti","binom_gecti","karar","mekanizma","etiket","r_XZ","r_ZY","maxZ","etk_p","C2","taban_ok"
"MEMNUNIYET","GUV_Saglayici","ERS",6,-0.276,0.328,-0.342,-0.926,0.39,0.8001,0.8906,2,2,2,3.8,6.7,0,0.444,6,-0.321,FALSE,FALSE,"Degil","Yok","olcek_Z",0.554,0.617,0.617,0.1559,"kaldi",FALSE
"MEMNUNIYET","GUV_Odeyici","ERS",6,0.665,0.819,0.329,-0.851,2.353,0.2083,0.6562,3,3,3,3.8,5,0,0.533,6,-0.639,FALSE,FALSE,"Degil","Yok","olcek_Z",0.554,0.569,0.569,0.3512,"kaldi",FALSE
"MEMNUNIYET","GUVEN","ERS",6,0.656,0.615,0.425,-0.523,1.898,0.1432,0.3437,4,4,4,3.5,4.7,0,0.667,6,-0.48,FALSE,FALSE,"Degil","Yok","olcek_Z",0.554,0.612,0.612,0.3247,"kaldi",FALSE
"MEMNUNIYET","SOY_index","ERS",6,-0.444,0.292,-0.635,-1.019,0.081,0.9358,0.8906,2,2,2,7,11.1,0,0.311,6,-0.14,FALSE,FALSE,"Degil","Yok","olcek_Z",0.554,0.413,0.554,0.3334,"kaldi",FALSE
"MEMNUNIYET","GUV_Saglayici","KAB",6,-1.119,0.336,-1.358,-1.619,-0.365,0.9996,0.9844,1,1,1,3.8,13.2,0,0.167,6,0.028,FALSE,FALSE,"Degil","Yok","olcek_Z",0.632,0.717,0.717,0,"kaldi",FALSE
"MEMNUNIYET","GUV_Odeyici","KAB",6,-0.855,0.446,-0.767,-1.658,0.111,0.9724,0.9844,1,1,1,3.8,11.3,0,0.222,6,-0.517,FALSE,FALSE,"Degil","Yok","olcek_Z",0.632,0.666,0.666,0.0006,"kaldi",FALSE
"MEMNUNIYET","GUVEN","KAB",6,-0.799,0.437,-0.741,-1.484,0.136,0.9663,0.9844,1,1,1,3.5,10.9,0,0.167,6,-0.152,FALSE,FALSE,"Degil","Yok","olcek_Z",0.632,0.716,0.716,0.0002,"kaldi",FALSE
"MEMNUNIYET","SOY_index","KAB",6,-1.05,0.461,-0.951,-1.91,-0.205,0.9886,0.9844,1,1,1,7,12.6,0,0.233,6,0.611,FALSE,FALSE,"Degil","Yok","olcek_Z",0.632,0.453,0.632,0.9592,"kaldi",FALSE
"MEMNUNIYET","GUV_Saglayici","UYG",6,-1.09,0.159,-2.846,-1.417,-0.794,1,1,0,0,0,3.8,11.7,0,0.111,6,0.066,FALSE,FALSE,"Degil","Yok","olcek_Z",0.641,0.701,0.701,0.0173,"kaldi",FALSE
"MEMNUNIYET","GUV_Odeyici","UYG",6,-0.651,0.297,-0.884,-1.19,-0.056,0.9857,0.8906,1,2,2,3.8,9.4,0,0.422,6,-0.347,FALSE,FALSE,"Degil","Yok","olcek_Z",0.641,0.655,0.655,0.0123,"kaldi",FALSE
